Post_Type,Likes,Shares,Comments,Account_Type,Person_Type,Social_Platform,Location,Account_Verification,User_Activity,User_Language,User_Follower,Media_Type
Reels,850899,58,83,Public,Social Activist,Instagram,Yosemite National Park,Verified,3 posts per week,English,4191,image
Text,2001953,36,96,Public,Brand Ambassador,Twitter,"Bangkok, Thailand",Not verified,5 posts per week,English,7653,text
Video,3506818,66,105,Public,Tech Reviewer,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,1956,image
Static Image,169053,66,139,Public,Food Blogger,Instagram,"Los Angeles, USA",Verified,4 posts per week,English,1236,text
Carousel,4342512,58,50,Public,Travel Blogger,Twitter,"Paris, France",Not verified,3 posts per week,English,3322,video
Carousel,1350953,19,109,Public,Food Blogger,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,7721,text
Carousel,1437042,70,87,Public,Tech Reviewer,Twitter,"San Francisco, USA",Not verified,1 post per day,English,7469,video
Video,832413,45,113,Public,Content Creator,Instagram,"New York City, USA",Verified,2 posts per week,English,9349,video
Static Image,589237,28,99,Private,Travel Blogger,Facebook,"London, UK",Not verified,4 posts per week,English,776,text
Video,490521,56,111,Public,Tech Reviewer,Instagram,"Paris, France",Verified,3 posts per week,English,7609,image
Carousel,1339817,44,144,Public,Social Activist,Twitter,"New York City, USA",Not verified,2 posts per week,English,710,video
Text,2367789,68,77,Private,Influencer,Spotify,"Los Angeles, USA",Not verified,1 post per day,English,2756,image
Video,3186836,58,91,Public,User,Instagram,"San Francisco, USA",Verified,3 posts per week,English,4572,image
Carousel,2962123,25,111,Public,Content Creator,Instagram,"Vancouver, Canada",Not verified,2 posts per week,English,1332,text
Carousel,3910148,31,155,Public,Food Blogger,Twitter,"San Jose, USA",Verified,3 posts per week,English,7988,video
Carousel,112832,42,118,Private,Influencer,YouTube,"Los Angeles, USA",Not verified,1 post per week,English,8169,video
Reels,1884095,56,53,Public,Food Blogger,Instagram,"New York City, USA",Verified,4 posts per week,English,6109,video
Static Image,1944579,41,136,Public,Travel Blogger,Twitch,"Seattle, USA",Not verified,2 posts per week,English,1400,video
Reels,447312,74,82,Private,Brand Ambassador,Instagram,"Rome, Italy",Not verified,2 posts per week,English,6364,video
Reels,1803916,50,64,Public,Tech Reviewer,Twitter,"Tokyo, Japan",Not verified,3 posts per week,English,4448,text
Static Image,1767975,61,97,Public,User,Facebook,"Los Angeles, USA",Not verified,4 posts per week,English,9976,text
Carousel,268205,56,98,Public,Travel Blogger,Instagram,"Sydney, Australia",Verified,3 posts per week,English,2675,text
Reels,1873420,65,135,Public,Tech Reviewer,Twitter,"Silicon Valley, USA",Verified,2 posts per week,English,6376,image
Reels,379843,53,92,Private,Food Blogger,Goodreads,"London, UK",Not verified,1 post per day,English,5817,image
Reels,951231,43,123,Public,Social Activist,Instagram,"New York City, USA",Verified,4 posts per week,English,8559,text
Video,582840,35,116,Public,User,Spotify,"London, UK",Not verified,3 posts per week,English,4411,text
Carousel,136726,43,73,Public,Entrepreneur,Instagram,"Sydney, Australia",Not verified,4 posts per week,English,3756,video
Static Image,542944,29,115,Public,Gamer,Twitter,"Paris, France",Not verified,2 posts per week,English,2927,text
Static Image,1084597,41,81,Public,Fitness Enthusiast,Facebook,"Barcelona, Spain",Verified,3 posts per week,English,3890,video
Carousel,2569901,24,119,Public,User,Instagram,"Tokyo, Japan",Not verified,2 posts per week,English,8954,image
Static Image,1270916,68,61,Public,Fitness Enthusiast,Twitter,"Los Angeles, USA",Not verified,3 posts per week,English,7427,image
Carousel,2429602,56,71,Private,Food Blogger,Facebook,"Sydney, Australia",Not verified,2 posts per week,English,4031,video
Carousel,733464,65,71,Private,Travel Blogger,Instagram,"London, UK",Not verified,1 post per day,English,2647,image
Text,102757,31,120,Private,Influencer,Twitch,"San Francisco, USA",Not verified,4 posts per week,English,9340,text
Text,2296380,45,132,Public,Entrepreneur,YouTube,"Paris, France",Not verified,3 posts per week,English,2804,video
Video,3564605,62,66,Public,Influencer,Goodreads,"New York City, USA",Not verified,2 posts per week,English,2711,image
Reels,1201219,33,92,Private,Food Blogger,Twitter,"Los Angeles, USA",Not verified,1 post per day,English,3032,image
Carousel,1168936,67,91,Private,Content Creator,Instagram,"Barcelona, Spain",Not verified,3 posts per week,English,714,image
Static Image,114226,45,81,Public,User,Facebook,"Silicon Valley, USA",Verified,4 posts per week,English,3603,image
Reels,2866164,54,131,Public,Brand Ambassador,Instagram,Yosemite National Park,Verified,3 posts per week,English,6190,text
Carousel,3716027,57,62,Public,User,Twitter,"Bangkok, Thailand",Not verified,5 posts per week,English,6061,video
Reels,2855618,49,115,Private,Fitness Enthusiast,Facebook,"Bali, Indonesia",Not verified,2 posts per week,English,1972,video
